date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:37	12729/12729	---M--	200	added ('OK')	image/jpeg	etag:%22259b0a136c9ba62786fe3a0868cc48a0%22	http://demo.hasthemes.com/petmark-v5/petmark/image/product/cart-product.jpg	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/product/cart-product.jpg	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:37	47589/47589	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jan%202019%2012:46:52%20GMT	http://demo.hasthemes.com/petmark-v5/petmark/product-details-right-gallery.html	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/product-details-right-gallery.html	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:40	10089/10089	---M--	200	added ('OK')	image/jpeg	etag:%22def77206a2fcc4fc705f5fce4a13d5e4%22	http://demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-2.jpg	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-2.jpg	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:41	19648/19648	---M--	200	added ('OK')	image/jpeg	etag:%22cecdc84ab1972fc11d2191817ca1823e%22	http://demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-1.jpg	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-1.jpg	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:43	18022/18022	---M--	200	added ('OK')	image/jpeg	etag:%2228d68b6c270888e7bba9b0690175d286%22	http://demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-3.jpg	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-3.jpg	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:44	14047/14047	---M--	200	added ('OK')	image/jpeg	etag:%22c6691a2146f3bdc982c19c175afb01fd%22	http://demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-4.jpg	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/product-4.jpg	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:45	58255/58255	---M--	200	added ('OK')	image/jpeg	etag:%22981c5970c519dec6e26b39a6c0346666%22	http://demo.hasthemes.com/petmark-v5/petmark/image/bg-images/home-1/slider-1.jpg	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/bg-images/home-1/slider-1.jpg	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:46	12016/12016	---M--	200	added ('OK')	image/png	etag:%227d0f733241294009725ee1d7031702ba%22	http://demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/category-1.png	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/category-1.png	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:46	52611/52611	---M--	200	added ('OK')	image/jpeg	etag:%22d881b41b04d60eed33d55546370e1c99%22	http://demo.hasthemes.com/petmark-v5/petmark/image/bg-images/home-1/slider-2.jpg	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/bg-images/home-1/slider-2.jpg	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
11:58:46	12613/12613	---M--	200	added ('OK')	image/png	etag:%22edf2adcaf50384dfa9911dcfd42a5eb9%22	http://demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/category-2.png	C:/Users/Lenovo%20Pad/Desktop/Aqua-pet/demo.hasthemes.com/petmark-v5/petmark/image/product/home-1/category-2.png	(from http://demo.hasthemes.com/petmark-v5/petmark/index.html)
